System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes

Binary AGN Candidate,Mrk 915,Mrk 915,Periodicity,,0.02399,spec,22:36:46.4981814408,-12:32:42.887039748,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Serafinelli+2020,2020ApJ...902...10S,https://doi.org/10.3847/1538-4357/abb3c3,Serafinelli+ use a novel technique to search for periodicities in colored noise X-ray light curves based on Fisher's exact g-test and it's pribability of false alarm due to colored noise fluctuations. Only Mrk 915 meets their selection criterion and shows a periodicity of roughly 35 months. They also discuss the binary examined by Severgnini+ and report a periodicity int hat target consistent with Severgnini's work.

Dual AGN (candidate?),IRAS 16474+3430,IRAS 16474+3430 M,Near-IR Colors,,0.11262,spec,-99,-99,J2000,Near-IR,Keck,,,,IRAS 16474+3430 S,0.11262,spec,-99,-99,J2000,Near-IR,Keck,,,,,,Imanishi+2014,2014ApJ...780..106I,https://doi.org/10.1088/0004-637X/780/1/106,This system is optically an HII region but Imanishi+ find two AGN-like IR sources based on their near-IR color criterion and suggest this is a dual AGN. The middle nucleus is resolved for the first time in their AO imaging and the two AGNs are within the middle and southern nuclei. Coordinates for individual nuclei are not available. I do not trust the Simbad coordinates since those are from SDSS. Need to reach out to Imanishi+. Taking the redshift from SDSS but we need to update this later. Redshifts are not distinct.

(%)Dual AGN Candidate,SDSS J084810.11+351534.3,SDSS J084810.10+351534.4,Long-Slit Optical Spectroscopy / Optical Spectroscopic Emission Line Ratios,,0.05727,spec,08:48:10.11792,+35:15:34.3224,J2000,Optical,SDSS,,,,SDSS J084809.69+351532.1,0.056974,spec,08:48:09.6871241704,+35:15:32.112330200,J2000,Optical,GAIA,,,,,,Keel+2019,2019MNRAS.483.4847K,https://doi.org/10.1093/mnras/sty3332,Keel+ mentions this could have a 2nd AGN or could be due to cross-ionization. This is possibly confirmed by Zhang+2021
**********(%)Dual AGN,NGC 5278/5279,NGC 5278,Long-Slit Optical Spectroscopy / Optial Spectroscopic Emission Line Ratios,Optical Emission Line Ratios,0.02597,phot,13:41:39.6051780576,+55:40:14.431383840,J2000,Optical,GAIA,,,,NGC 5279,,spec,13:41:43.7676520800,+55:40:25.529364300,J2000,Optical,GAIA,,,,,,Keel+1985 ; Keel+2019,1985AJ.....90..708K ; 2019MNRAS.483.4847K,https://ui.adsabs.harvard.edu/abs/1985AJ.....90..708K/abstract ;  https://doi.org/10.1093/mnras/sty3332,Heavily reddened AGN that reside near the Seyfert 2/LINER boundary
(%)Dual AGN,UGC 6081,UGC 6081,Long-Slit Optical Spectroscopy / Optical Spectroscpic Emission Line Ratios,,0.03594,spec,11:00:19.1,+10:02:51,J2000,,,,,,LEDA 200263,0.03602,spec,11:00:17.989,+10:02:56.84,J2000,Optical,SDSS,,,,,,Dutta+2018 ; Keel+2019,2018MNRAS.480..947D ; 2019MNRAS.483.4847K,https://doi.org/10.1093/mnras/sty1872 ; https://doi.org/10.1093/mnras/sty3332,
(%)Dual AGN Candidate,SDSS J141447.15-000013.1,SDSS J141447.15-000013.1,Optical Spectroscopy / Fiber Spectroscopy / Optical Spectroscopic Emission Line Ratios,Long-Slit Optical Spectroscopy / Optical Spectroscopic Emission Line Ratios,,spec,14:14:47.15,-00:00:13.1,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Keel+2019,2019MNRAS.483.4847K,https://doi.org/10.1093/mnras/sty3332, 

Recoiling AGN Candidate,NGC 3718,NGC 3718,Serendipitous / Near-IR Imaging / Radio Imaging,,0.003927?,spec,11:32:34.8515,+53:04:04.475,J2000,Near-IR,Subaru,,,,NGC 3718,0.003927?,spec,11:32:34.8550,+53:04:04.512,J2000,Near-IR,Subaru,,,,50e-3,4.5,Markakis+2015,2015A&A...580A..11M,https://doi.org/10.1051/0004-6361/201425077,Markakis find an offset red blob in NIR imaging that is offset by roughly 4.5 pc from the nucleus. Radio emission appears to originate closer to the blob than the nucleus. Possible x-shaped radio source. There is also a relative shift between the narrow and broad Halpha lines. There may also be a nuclear star cluster surrounding the offset blob. Coordinates for the first object is the nucleus and the second instance are the coordinates for the red blob (not the radio source).

Recoiling AGN Candidate,3C 186, 3C 186 HOST,Serendipitous? / Optical Imaging / X-ray Imaging,,1.0685,spec,07:44:17.4720658920,+37:53:17.250697320,J2000,Optical,GAIA,,,,3C 186 Quasar,1.054,spec,-99,-99,-99,-99,-99,-99,-99,-99,1.32,11,Chiaberge+2017 ; Chiaberge+2018,2017A&A...600A..57C ; 2018ApJ...861...56C,https://doi.org/10.1051/0004-6361/201629522 ; https://doi.org/10.3847/1538-4357/aac48b,Chiaberge+2017 measure an offset of 1.32'' between the quasar PSF and the center of a the host galaxy. Possible tidal features are present in the host. All of the observed broad lines show offsets from the narrow lines; the four strongest observed broad lines indicate a velocity offset of ~-2140 km/s. The Chandra image is consistent with only a single source centered ont he quasar position. They favor a recoil scenario as the most likely scenarrio but they cannot rule out scenarios such as an extreme disk emitter; a peculiar background QSO associated with an undermassive host; and/or involving peculiar winds. Chiaberge+2018 study Keck OSIRIS IFU data; they find that the emitting regions are complex and they find evidence for AGN feedback. They find three distinct spectral components assocated with spatially distinct emission-line regions. Their findings are consistent with Chiaberge+2017 but are not conclusive. Coordinates are noot provided by either paper to either the host or quasar.

Binary AGN Candidate,RBS797,RBS797 C1,Serendipitous / Radio Imaging / X-ray Imaging,,0.35,spec,09:47:12.760,+76:23:13.733,J2000,Radio (5 GHz),EVN,0.61 mJy,5 GHz,EVN,RBS797 C2,0.35,spec,-99,-99,-99,Radio (4.8 GHz),VLA,0.54 mJy,5 GHz,EVN,16e-3,,Gitti+2006 ; Gitti+2013,2006A&A...448..853G ; 2013A&A...557L..14G,https://doi.org/10.1051/0004-6361:20053998 ; https://doi.org/10.1051/0004-6361/201322401,Gitt+06 find radio-filled X-ray cavities in this system. One proposed explanation for some of the observed structure is precessing radio jets cased by a binary AGN but they do not go into much more depth. Coordinates for C1 come from gitti+2013; they only list C2 relative to C1 so I don't include those yet. The redshift of the central cluster galaxy (not sure if this is the same one). Gitt2013 report the presence of two compact radio components separated by ~77pc. They envisage two scenarios: this is either a binary AGN system or the two components represent a core and the knot it's jet. I believe they also suggest the presence of jets from both AGNs based on a reexamination of the 4.8 GHz imaging in conjunction with their own new imaging.

Dual AGN Candidate,KISSR 1494,KISSR 1494,Double-peaked optical emission lines,,0.057446,spec,13:13:25.849,+43:32:14.79,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Kharb+2015 ; Das+2018,2015ApJ...799..161K ; 2018BSRSL..87..299D,https://doi.org/10.1088/0004-637X/799/2/161 ; https://ui.adsabs.harvard.edu/abs/2018BSRSL..87..299D/abstract,Kharb+ detect a single source at 1.6 GHz but not at 5 GHz. Kharb+ favors a scenario that does not involve a biinary to explain the data. Das+ detect a single source at 1.6 GHz and no source at 5 GHz. They state that while it is possible there are two AGNs and one simply was not detected in their imaging it is more likely that the observed emission represents a coronal wind. THIS MAY OVERLAP WITH Double-Peaked SAMPLES ALREADY DRAWN FROM SDSS.

Binary AGN Candidate,3C 84,3C 84,Jet Precession,,0.0176,spec,03:19:48.1599902040,+41:30:42.108850836,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Britzen+2019,2019Galax...7...72B,https://doi.org/10.3390/galaxies7030072,

Binary AGN Candidate,J1043+2408,J1043+2408,Periodicity,,0.563446,spec,10:43:09.03578135,+24:08:35.4094642,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Bhatta+2018,2018Galax...6..136B,https://doi.org/10.3390/galaxies6040136,

Binary AGN Candidate,1308+326,1308+326,Jet Precession,,0.99591,spec,13:10:28.6638,+32:20:43.783,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Britzen+2015 ; Britzen+2017,2015AN....336..471B ; 2017A&A...602A..29B,https://doi.org/10.1002/asna.201512178 ; https://doi.org/10.1051/0004-6361/201629999,This article does not appear to have any rigorous analysis but instead discsusses liteature results along with some archival images (but again whtout indepth analysis). Britzen+2017 discussed binary possibility but then suggest that an axisymmetric jet may be difficult to form from a heavily disturbed accretion disk in a binary system.
Binary AGN Candidate,0735+178,0735+178,,,0.45,spec,07:38:07.39375312,+17:42:18.9981506,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Britzen+2015,2015AN....336..471B,https://doi.org/10.1002/asna.201512178,This article does not appear to have any rigorous analysis but instead discsusses liteature results along with some archival images (but again whtout indepth analysis)

Binary AGN Candidate,SDSS J120136.02+300305.5,SDSS J1201+30,TDE Modeling,,0.146,spec,12:01:36.02,+30:03:05.5,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Liu+2014,2014ApJ...786..103L,https://doi.org/10.1088/0004-637X/786/2/103,Liu+ show that the TDE light curve decay and associated dips and resurgences can be well modeled assuming a supermassive black hole binary system. Coordinates drawn from naming convention and redshift comes from Liu+.

Dual AGN Candidate,SDSS J111458.01+403611.4,J1114+4036 A,Optical Spectroscopic Emission Line Ratios / Positional Offsets / Chandra Imaging / HST Imaging,,0.076,spec,11:14:58.084,+40:36:12.26,J2000,X-ray,Chandra,,,,J1114+4036 B,0.076,spec,11:14:57.952,+40:36:11.25,J2000,X-ray,Chandra,,,,,,Barrows+2016 ; Barrows+2017 ; Barrows+2018,2016ApJ...829...37B ; 2017ApJ...838..129B ; 2018ApJ...869..154B,https://doi.org/10.3847/0004-637X/829/1/37 ; https://doi.org/10.3847/1538-4357/aa64d9 ; https://doi.org/10.3847/1538-4357/aaedb6,Redshifts are not unique. Coordinates are unique and from Chandra. Barrows+2016 originally finds marginal evidence for two X-ray sources. Barrows+2017 cites this result from Barrows+2016 but does not expand upon it. Barrows+2018 find the Chandra data is best explained by a two source model where the sources are coincident with the nuclei.

Dual AGN Candidate,SDSS J101022.96+141300.9,J1010+1413,Serendipitous / Optical Imaging / Narrow-Band Imaging,Narrow-Band Imaging / Optical Imaging / Near-IR Imaging,0.19929,spec,10:10:22.9567846176,+14:13:00.893737380,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.13,,Goulding+2019,2019ApJ...879L..21G,https://doi.org/10.3847/2041-8213/ab2a14,Coordinates are not unique and are drawn from SIMBAD (from GAIA). Redshifts are not unique and come from Simbad (from SDSS). Two OIII emitting regions are coincident with two stellar nuclei in this late-stage merger. HST imaging is inconsistent with a single AGN blocked by a dust lane. Chandra cannot resolve two nuclei but observed emission could be SF driven or scattered AGN emission. Goulding+ concluded that this likely hosts a dual AGN with 430 pc separation.

Binary AGN Candidate,SDSS J111036.32+481752.3,J1110+4817,Serendipitous / VLBI Imaging,,0.74,spec,11:10:36.32327,48:17:52.4382,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Krezinger+2020,2020MNRAS.496.1811K,https://doi.org/10.1093/mnras/staa1669,Krezinger+ favor the CSO hypothesis but cannot rule out a binary AGN. Redshift is from Hook+ and Yuan+ and not from SDSS. Note there is a radio and optical offset between teh VLBI position in the ICRF and the SDSS position. Here I am quoting the GAIA coordinates. A main argument against a binary is the lack of a secondary compact flat specturm radio core. The projected linear size morphology and spectral index distribution are all generally consistent with a CSO classification though.

Recoiling AGN Candidate,NGC 3621,NGC 3621,Serendipitous / Optical IFU Imaging / Optical IFU Spectroscopy,Optical IFU Imaging / Optical IFU Spectroscopy / UV Imaging,0.002437,spec,11:18:16.300,-32:48:45.36,J2000,Near-IR,2MASS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.14,,Menezes+2016,2016ApJ...817..150M,https://doi.org/10.3847/0004-637X/817/2/150,Distance between the stellar nucleus and line emitting blob is 2.14''. We quote that as the angular separation. The coordinates listed here are to the nucleus and drawn from simbad. Menezes+ does not include coordinates to the blob.

Recoiling AGN Candidate,NGC 3115,NGC 3115,Optical IFU Imaging / Optical IFU Spectroscopy,Optical IFU Imaging / Optical IFU Spectroscopy,0.002212,spec,10:05:13.9270507008,-07:43:06.982712292,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.29,,Menezes+2014,2014ApJ...796L..13M,https://doi.org/10.1088/2041-8205/796/1/L13,Menezes+ claim the position of the Halpha emitting Sy1 is 0.29'' offset from the nucleus. They discuss a binary and a recoil hypothesis but we are only considering this as a recoil hypothesis because there is no evidence that a merger occurred so a binary at this stage is unlikely. The coordinates quoted here come from Simbad and are for presumably the nucleus and NOT the off nuclear AGN. May want to look into paper by Mediaville+Arribas+1993. The separation quoted is the separation between the central bulge and the AGN. No precise coordinates are provided.

Dual AGN Candidate,WISE J020446.13-050640.8,WISE J020446.13-050640.8,Serendipitous / Mid-IR Colors / SED Features (Blue Excess),Serendipitous / Mid-IR Colors / SED Features,2.100,spec,02:04:46.13,-05:06:40.8,J2000,Mid-IR,WISE,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Assef+2013,2016ApJ...819..111A,https://doi.org/10.3847/0004-637X/819/2/111,Coordinates are drawn from the WISE designation. Assef+ investigated possibility that this blue excess Hot DOG could contain a dual AGN; preliminary SED fitting suggested that a "2 AGN" scenario (where the second is unobscured) could well represent the observed SED but they show that their Chandra observations are at odds with this scenario: the Chandra data do not show evidence of a secondary unobscured AGN at the expected X-ray lumnosity (the spectrum is consistent with a heavily absorbed source without an unabsorbed component). The secondary could be X-ray weak but such objects apparently have only been found to be BAL QSOs and there is no evidence that this is a BAL QSO. Dual AGN cannot be completely ruled out but it is unlikely.

Binary SMBH Candidate,WISE J233237.05-505643.5,WISE J233237.05-505643.5 (W2332-5056),Serendipitous / Mid-IR Colors / Radio Morphology / Offset Optical Emission Lines,Mid-IR Colors / Radio Morphology / Offset Optical Emission Lines,0.3447,spec,23:32:36.96,-50:56:43.44,J2000,g',Magellan,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,1pc,Tsai+2013,2013ApJ...779...41T,https://doi.org/10.1088/0004-637X/779/1/41,Hybrid FR-I and FR-II features and exhibits a pair of curved jets. Long term optical brightness variations are observed. Optical spectrum shows offsets between BL and NL centroids in Halpha and Hbeta. Tsai suggest either a single spinning SMBH misaligned with an accretion disk or a binary SMBH with separation ~1pc.

Binary AGN Candidate,Ark 120,Ark 120,Periodicity,,0.03271,spec,05:16:11.421,-00:08:59.38,J2000,Optical,Clements+1981,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Du+2018 ; Li+2019 ; Hu+2020,2018ApJ...869..142D ; 2019ApJS..241...33L ; 2020MNRAS.495.4061H,https://doi.org/10.3847/1538-4357/aaed2c ; https://doi.org/10.3847/1538-4365/ab0ec5 ; https://doi.org/10.1093/mnras/staa1312,Coordinates and redshift from NED; Du+2018 measured Hbeta velocity time-lags in this object in a preliminary reverberation-mapping investigation and found that the velocity-resolved results showed complex structures different from simple inflow outflow or virialized motions. Hu+ disfavors a binary hypothesis for this system.

Binary AGN Candidate,J1918+4937 (KIC 11606854),J1918+4937 (Spikey),Symmetric Flare,,0.918,spec,19:18:45.5795980920,+49:37:56.033097456,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Hu+2020 ; Kun+2020,2020MNRAS.495.4061H ; 2020MNRAS.496.3336K,https://doi.org/10.1093/mnras/staa1312 ; https://doi.org/10.1093/mnras/staa1734,Hu+ favors a binary hypothesis and proposes a self-lensing scenario for a binary black hole system. Kun+ examined Spikey with VLBI and find that the observed jet and radio curve are consistent with the binary hypothesis in Hu+ but they cannot urle out alternative hypotheses. Kun+ only seems to favor the binary model because Hu+ suggested it and Hu+ can explain the optical spike with their model.

Dual AGN,3C 321,3C 321,,,0.096190,-99,15:31:43.473,+24:04:18.93,J2000,Near-IR,2MASS,,,,3C 321 companion,-99,spec,-99,-99,J2000,-99,-99,,,,,,Filippenko+1987 ; Draper1993 ; Young+1996 ; Tadhunter+1996 ; Robinson+2000 ; Evans+2008,1987IAUS..124..761F ; 1993MNRAS.262.1029D ; 1996MNRAS.279L..72Y ; 1996MNRAS.281..591T ; 2000MNRAS.317..922R ; 2008ApJ...675.1057E,https://ui.adsabs.harvard.edu/abs/1987IAUS..124..761F/abstract ; https://doi.org/10.1093/mnras/262.4.1029 ; https://doi.org/10.1093/mnras/279.4.L72 ; https://doi.org/10.1093/mnras/281.2.591 ; https://doi.org/10.1046/j.1365-8711.2000.03719.x ; https://doi.org/10.1086/527410,Filipppenko+ found both nuclei to be consistent with seyfert-like line ratios and claim one line emitting source coincident with a flat spectrum radio source and another coincident with steep spectrum source (the northeasten companion). Equivalent widths of emission lines in one of the sources is large than in the other source. Draper+ examined the polarized light ; their data seem to suggest a central ionizing source and I'm not sure how this fits in the picture. Tadhunter and Young presented spectropolarimetric observations revealing broad lines; I don't think either of these offered any evidence for multiple AGNs and I don't think their observations could resolve multiple components. Filippenko+ found evidence for broad Halpha wings in the brighter nucleus and Robinson+2000 found evidence for broad Halpha in the weaker nucleus. Evans+2008 performed a multiwavelength study and claimed the discovery of obscured AGNs in both nuclei based on Chandra observations and they suggest that the secondary AGN could have been triggered by the jet from the primary interacting with the secondary and driving material toward/onto the secondary SMBH. Evans quote the works by Fileppenko+ Robinson+ and Draper+ in addition to their own evidence that there are indeed two AGNs in this system.

(%)Dual AGN Candidate,ESO 286-G17 + ESO 286-G18 (AM 2054-433 N + AM 2054-433 S),ESO 286-G17,Grating Optical Spectroscopy,,0.03262,spec,20:57:49.42,-43:21:05.6,J2000,Near-IR,2MASS,,,,ESO 286-G18,0.03051,spec,20:57:50.34,-43:22:27.9,J2000,Near-IR,2MASS,,,,,,Sekiguchi+1992,1992MNRAS.255..581S,https://doi.org/10.1093/mnras/255.4.581,Sekiguchi labels these are LINER-like objects making them a possible LINER pair

(%)Dual AGN, Was 49, Was 49a,Serendipitous / Grism Optical Spectroscopy / Long-Slit Optical Spectroscopy / Optical Imaging,Long-Slit Optical Spectroscopy / X-ray Imaging,0.06326,spec,12:14:18.262,+29:31:46.75,J2000,X-ray,Chandra,,,,Was 49b,0.06353,spec,12:14:17.816,+29:31:43.17,J2000,X-ray,Chandra,,,,7,,Bothun+1989 ; Moran+1992 ; Secrest+2017 ; Dutta+2018 ; Keel+2019,1989ApJS...70..271B ; 1992AJ....104..990M ; 2017ApJ...836..183S ; 2018MNRAS.480..947D ; 2019MNRAS.483.4847K, https://doi.org/10.1086/191341 ; https://doi.org/10.1086/116292 ; https://doi.org/10.3847/1538-4357/836/2/183 ; https://doi.org/10.1093/mnras/sty1872 ; https://doi.org/10.1093/mnras/sty3332,Bothun+ showed both nuclei had seyfert-like spectra originally. Was49 is a Seyfert 2 while Was49b is a Type 1.8. Was 49b is the brighter of the two. Only 49b is detected in radio but both are detectewd in X-rays. Redshifts come from NED and are from SDSS 2016. Keel+ find some evidence for cross-ionization. Verify if Bothun+ or others used grism spectroscopy or something else. Moran+ did look at VLA imaging as well.

Binary AGN Candidate,SDSS J0914+0853,SDSS J0914+0853,Serendipitous / X-ray Imaging,,0.13991,spec,09:14:49.058,+08:53:21.12,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.3,,Foord+2019,2019ApJ...877...17F,https://doi.org/10.3847/1538-4357/ab18a3,Foord+ find that this source more resmbles a single X-ray source afterall

(%)Binary Quasar Candidate,CLASS B0827+525,CLASS B0827+525 A,VLA Snapshots,Radio Imaging / HST Optical and Near-IR Imaging / Keck Near-IR Imaging / Long-Slit Optical Spectroscopy,2.064,spec,08:31:05.478,+52:25:21.18,J2000,5 GHz,VLBA,33.1 mJy,,VLA,CLASS B0827+525 B,,,08:31:05.244,+52:25:19.35,J2000,5 GHz,VLBA,14.0 mJy,4.9 GHz,VLA,2.815,,Koopmans+2000,2000A&A...361..815K,https://doi.org/10.48550/arXiv.astro-ph/0007286,Koopmans+ favors a dark lens scenario but they do not find a lens galaxy. Two unresolved components detected by VLA and MERLIN; the consistency of the flux ratios at 4.9 GHz and 8.5 GHz strengthened case for lens. Both sources show fairly flat spectra ; the two sources have fairly different spectral indices based on VLA 1.4 4.9 8.5 and 14.9 GHz obs. The different spectral indices deso not disqualify lens hypothesis but apparently disfavors dark lens. HST and Keck imaging suggest A is unresolved and B might be slightly extended. No spectroscopic emission detected from B nor is there evidence for a lens galaxy in the spectra of A component. Spectral lines detected in A and not B would seem to argue against lens? They cannot rule out dark lens but binary is more likely. Coordinates are drawn from NED ; need to ensure these are correct. Only one redshift (for A) available. The VLA snapshots were a part of the lens search selection.

Ejected Nucleus Candidate,ESO 1327-2041,ESO 1327-2041 Galaxy,Serendipitous / Optical Imaging,Optical Imaging / Narrow-Band Optical Imaging / Radio Imaging / Long-Slit Optical Spectroscopy,0.01781,spec,13:30:05.302,-20:55:58.73,J2000,,,,,,ESO 1327-2041 Ejected Nucleus,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Keeney+2011,2011AJ....141...66K,https://doi.org/10.1088/0004-6256/141/2/66,If truly an ejected nucleus it would be due to a grazing incidence tidal interaction and NOT a true recoiling nucleus as a result of a SMBH coalescence event. It is not obvious that this is an AGN ; further observations are needed. No distinct redshift or coordinates provided by Keeney+2011. I have labeled the two objects as galaxy and ejected nucleus. Check with Barry.

Binary AGN Candidate,OQ 208 / Mrk 668,OQ 208 / Mrk 668,Velocity Offset Lines,,0.07701,spec,14:07:00.3944,+28:27:14.690,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Marziani+1993 ; Gezari+2007 ; Liu+2016 ; Doan+2020,1993ApJ...410...56M ; 2007ApJS..169..167G ; 2016ApJ...817...42L ; 2020MNRAS.491.1104D,https://doi.org/10.1086/172724 ; https://doi.org/10.1086/511032 ; https://doi.org/10.3847/0004-637X/817/1/42 ; https://doi.org/10.1093/mnras/stz2705,Marziani+ disfavor scenarios related to a binary BLR or ballistic acceleration of line-emitting gas. Gezari+ argue against binary hypothesis. The shift of the red peak is not consistent with a binary BLR hypothesis. Liu+2016 argues the binary hypothesis is incompatible with data spanning several decades (either the periods are longer than 20 years or other mechanisms give rise to the observed emission line velocity changes) and provides additional arguments against the binary hypothesis outside of the spectroscopic analysis. Doan+ examine this object and place lower limits on the mass of the putative binary. They show that a radial velocity curve does not capture the full behavior of the data.

Binary SMBH Candidate,Mrk 6,Mrk 6,Radio Morphology,NA,0.01951,spec,06:52:12.251,+74:25:37.46,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Kharb+2014 ; Du+2018,2014MNRAS.440.2976K ; 2018ApJ...869..142D,https://10.1093/mnras/stu421 ; https://doi.org/10.3847/1538-4357/aaed2c,Coordinates and redshift from NED. Binary hypothesis briefly brought up to explain radio morphology since spin flips could be associated with binaries. Du+2018 measured Hbeta velocity time-lags in this object in a preliminary reverberation-mapping investigation and found that the velocity-resolved results showed complex structures different from simple inflow outflow or virialized motions. 

Dual AGN,Abell 2626,IC 5338,Serendipitous (Possible precessing jets),X-ray Imaging / Radio Imaging,0.054900(NED),spec,23:36:30.52,+21:08:47.0,J2000,X-ray,Chandra,,,,IC 5337,0.054988,spec(NED),23:36:25.04,+21:09:03.0,J2000,X-ray,Chandra,,,,,,Wong+2008 ; Ignesti+2018,2008ApJ...682..155W ; 2018A&A...610A..89I,https://10.1086/588272 ; https://10.1051/0004-6361/201731380,The nucleus of IC 5338 is double cored. Ignesti+2018 state that Wont+ claimed a possible dual AGN explanation for the appearance of the radio jets. This is not the case. Wong+ discussed the other nucleus having an effect on the observed jets not the presence of a second AGN in the cD galaxy IC 5338. Ignesti+ does not elaborate at all on this further.

Dual AGN,SDSS J1254+0846,SDSS J125455.09+084653.9 (SDSS J1254+0846 A),,,0.43919,spec,12:54:55.09,+08:46:53.9,J2000,,,,,,SDSS J125454.87+084652.1 (SDSS J1254+0846 B),0.440095,spec,12:54:54.87,+08:46:52.1,J2000,,,,,,3.8,21,Green+2010,2010ApJ...710.1578G,https://doi.org/10.1088/0004-637X/710/2/1578,RQ-RQ pair. Separations drawn from Green+.

SMBH Recoil Candidate,J095632.49+512823.92,SDSS 0956+5128,Offset Spectroscopic Emission Lines,,0.714,spec,09:56:32.49,+51:28:23.92,J2000,Optical,SDSS,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Steinhardt+2012,2012ApJ...759...24S,10.1088/0004-637X/759/1/24,This system presents emission lines at three distinct (and substantially different) redshifts. Coordinates are drawn from the SDSS naming convention. Note that the quoted redshift here is the systemic redshift of the host not the redshifts derived from the velocity shifted broad components. Neither of the proposed explanations can fully explain the observed phenomenon. A foreground/background projection does not appear to be ruled out but the 

Dual AGN Candidate,PSO J308.0416-21.2339,PSO J308-21 QSO,Serendipitous / ALMA Imaging / X-ray Follow-up Imaging,,6.2342,spec,20:32:10.00,-21:14:02.4,J2000,mm,ALMA,,,,PSO J308-21 companion,6.2485,spec,20:32:10.17,-21:14:02.7,J2000,mm,ALMA,,,,,,Connor+2017,2019ApJ...887..171C,https://doi.org/10.3847/1538-4357/ab5585,Redshifts are drawn from Decarli+2017. No coordinates are provided for the secondary X-ray source detected only in the hard X-rays. The detection of three hard X-ray photons in the [C II] bright companion argues in favor of a heavily obscured source. The source is coincident with the brightest UV knot detected by Decarli+2019 and the extended [C II] emission. Due to a lack of coordinates in the paper we draw them from the Decarli+2017 Nature paper: 2017Natur.545..457D .

Dual AGN,J1558+2723 (Abell 2142),J1558+2723 G3,Serendipitous / X-ray Imaging, X-ray Imaging / X-ray Spectroscopy,0.094,spec,15:58:50.44,+27:23:23.93,J2000,Optical,SDSS,,,,J1558+2723 G4,0.095,spec,15:58:50.33,+27:23:27.82,J2000,Optical,SDSS,,,,,,Eckert+2017,2017A&A...605A..25E,https://doi.org/10.1051/0004-6361/201730555,X-ray AGNs identified in Chandra imaging. No coordinates are provided for these two X-ray sources so coordinates listed here come from the SDSS fiber positions. This object was flagged in Pfeifle+2023b as a Type I/Type I candidate.

Dual AGN,CFHTLS J0221-0342,CFHTLS J0221-0342 QSO A,,,5.016,spec,02:21:12.613,-03:42:52.19,J2000,,,,,,CFHTLS J0221-0342 QSO B,5.019,spec,02:21:12.315,-03:42:31.64,J2000,,,,,,21,,McGreer+2016 ; Vignali+2018,2016AJ....151...61M ; 2018MNRAS.477..780V,https://doi.org/10.3847/0004-6256/151/3/61 ; https://doi.org/10.1093/mnras/sty682,No sign of a foreground lensing object or cluster that could explain the large separation; the SEDs do not match; there are clear spectral differences between the two AGNs. Note: the OI line was weakly detected in the 2nd QSO and the authors state that the redshift difference between them is not significant. The Ly-alpha lines are detected with high S/N and line profiles are nearly identical matching within 270 km per s. They assume a redshift difference of delta z\lesssim0.03. Projected separation quoted as 135 kpc. X-ray results from XMM in Vignali+ would appear to support notion that these are distinct QSOs.

